trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
119,0,119,0,,209.21871310006827,209.21871310006827,0.0009809001348912716,[0.10648148148148148],[0.020370370370370372],[1],[0],[0],[1.3098162999376655],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
120,0,120,0,,210.5354124000296,210.5354124000296,0.0006764000281691551,[-0.1685185185185185],[-0.08611111111111111],[1],[0],[0],[1.0636784001253545],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
121,0,121,0,,211.602062900085,211.602062900085,0.0012686001136898994,[-0.1111111111111111],[0.3416666666666667],[1],[0],[0],[0.9259762996807694],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
122,0,122,0,,212.53526670020074,212.53526670020074,0.0008956999517977238,[-0.10555555555555556],[-0.1685185185185185],[1],[0],[0],[0.9962038001976907],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
123,0,123,0,,213.53549369983375,213.53549369983375,0.0009278003126382828,[-0.27870370370370373],[-0.4305555555555556],[1],[0],[0],[0.9961950997821987],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
124,0,124,0,,214.53528439998627,214.53528439998627,0.0007644002325832844,[-0.06851851851851852],[0.2462962962962963],[1],[0],[0],[0.9296991000883281],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
125,0,125,0,,215.46887109987438,215.46887109987438,0.00081289978697896,"[0.02962962962962963, 0.04351851851851852]","[-0.1962962962962963, -0.22407407407407406]","[1, 1]","[0, 0]","[0, 0]","[0.8302392000332475, 1.180562499910593]",['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
126,0,126,0,,216.65228509996086,216.65228509996086,0.0010240999981760979,[-0.2814814814814815],[0.5],[1],[0],[0],[1.2944046999327838],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
127,0,127,0,,217.9521135999821,217.9521135999821,0.0011715996079146862,[-0.3592592592592593],[-0.19074074074074074],[1],[0],[0],[0.9443184998817742],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
128,0,128,0,,218.90169729990885,218.90169729990885,0.0008772001601755619,"[-0.45185185185185184, -0.45740740740740743]","[0.025, 0.008333333333333333]","[1, 1]","[0, 0]","[0, 0]","[0.8294092998839915, 1.2291344995610416]",['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
129,0,129,0,,220.1354164001532,220.1354164001532,0.0009638001210987568,[-0.5018518518518519],[0.3453703703703704],[1],[0],[0],[1.2941499003209174],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
130,0,130,0,,221.4354556002654,221.4354556002654,0.0012770001776516438,[-0.37407407407407406],[-0.2898148148148148],[1],[0],[0],[1.3282710001803935],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
131,0,131,0,,222.76852140016854,222.76852140016854,0.001052099745720625,[-0.4287037037037037],[0.06759259259259259],[1],[0],[0],[0.8427086002193391],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
132,0,132,0,,223.61844500014558,223.61844500014558,0.0007748003117740154,[-0.04722222222222222],[0.37777777777777777],[1],[0],[0],[1.4140109000727534],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
133,0,133,0,,225.03649599989876,225.03649599989876,0.000797799788415432,[0.462037037037037],[0.2833333333333333],[1],[0],[0],[1.6791694997809827],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
134,0,134,0,,226.71845299983397,226.71845299983397,0.0007964996621012688,[-0.2712962962962963],[0.1574074074074074],[1],[0],[0],[1.2304553999565542],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
135,0,135,0,,227.95215129991993,227.95215129991993,0.0012026000767946243,[0.008333333333333333],[0.387037037037037],[1],[0],[0],[1.3107221997343004],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
136,0,136,0,,229.2686819001101,229.2686819001101,0.0009158998727798462,[-0.28888888888888886],[0.05092592592592592],[1],[0],[0],[1.1777363000437617],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
137,0,137,0,,230.45213939994574,230.45213939994574,0.0010744999162852764,[0.43796296296296294],[0.29074074074074074],[1],[0],[0],[0.945064399857074],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
